308 candidats, 14 bras
production : 311/20, IoU 79.5 %
kappa=0 lambda=0.5 : hors echantillon 317.2/14.2, IoU 86.4 %  (production 311/20, 79.5 %)  | t180-rep8000L20:production a=0.8 ; 2 ex-aequo ; 2 ex-aequo ; t180-rep8000:production a=0.95 ; t180-rep8000L20:production a=0.8 ; t180-rep8000:production a=0.95 ; 3 ex-aequo
kappa=0 lambda=1 : hors echantillon 316.8/13.5, IoU 83.2 %  (production 311/20, 79.5 %)  | t180-rep8000:production a=0.95 ; 3 ex-aequo ; 3 ex-aequo ; t180-rep8000:production a=0.95 ; t180-rep8000:production a=0.95 ; t180-rep8000:production a=0.95 ; 2 ex-aequo
kappa=0 lambda=2 : hors echantillon 309.5/12.0, IoU 87.1 %  (production 311/20, 79.5 %)  | 3 ex-aequo ; t180-rep8000:production a=0.95 ; t180-rep4000L20:production a=0.8 ; t180-rep8000:production a=0.95 ; 3 ex-aequo ; 6 ex-aequo ; 8 ex-aequo
kappa=0.5 lambda=0.5 : hors echantillon 320.0/13.5, IoU 88.2 %  (production 311/20, 79.5 %)  | t180-rep8000L20:production a=0.8 ; 2 ex-aequo ; t180-rep8000L20:production a=0.8 ; t180-rep8000L20:production a=0.8 ; t180-rep8000L20:production a=0.8 ; t180-rep8000L20:production a=0.8 ; t180-rep8000L20:production a=0.8
kappa=0.5 lambda=1 : hors echantillon 313.0/13.5, IoU 89.7 %  (production 311/20, 79.5 %)  | t180-rep8000L20:production a=0.8 ; 2 ex-aequo ; t180-rep4000L20:production a=0.8 ; t180-rep8000L20:production a=0.8 ; t180-rep8000L20:production a=0.8 ; 2 ex-aequo ; 2 ex-aequo
kappa=0.5 lambda=2 : hors echantillon 313.0/11.0, IoU 89.8 %  (production 311/20, 79.5 %)  | 2 ex-aequo ; 2 ex-aequo ; t180-rep4000L20:production a=0.8 ; 2 ex-aequo ; 2 ex-aequo ; 2 ex-aequo ; 2 ex-aequo
kappa=1 lambda=0.5 : hors echantillon 320.0/13.5, IoU 88.2 %  (production 311/20, 79.5 %)  | t180-rep8000L20:production a=0.8 ; 2 ex-aequo ; t180-rep8000L20:production a=0.8 ; t180-rep8000L20:production a=0.8 ; t180-rep8000L20:production a=0.8 ; t180-rep8000L20:production a=0.8 ; t180-rep8000L20:production a=0.8
kappa=1 lambda=1 : hors echantillon 313.0/13.5, IoU 89.6 %  (production 311/20, 79.5 %)  | 2 ex-aequo ; 2 ex-aequo ; t180-rep4000L20:production a=0.8 ; t180-rep8000L20:production a=0.8 ; t180-rep8000L20:production a=0.8 ; 2 ex-aequo ; 2 ex-aequo
kappa=1 lambda=2 : hors echantillon 313.0/11.0, IoU 89.8 %  (production 311/20, 79.5 %)  | 2 ex-aequo ; 2 ex-aequo ; t180-rep4000L20:production a=0.8 ; 2 ex-aequo ; 2 ex-aequo ; 2 ex-aequo ; 2 ex-aequo
