type       | fenetres | tempo change | rang meilleur / pire | rang1 gagne / perdu | dont vers >=240 : meilleur / pire
TOUS       |     7414 |  1015 (14%) |    20 / 97    |    9 / 59   | 1015 : 20 / 97
reel       |     4085 |   701 (17%) |    16 / 63    |    9 / 34   | 701 : 16 / 63
jig        |     1873 |   185 (10%) |     2 / 22    |    0 / 16   | 185 : 2 / 22
slip jig   |      414 |    10 ( 2%) |     0 / 0     |    0 / 0    | 10 : 0 / 0
hornpipe   |      389 |    58 (15%) |     2 / 5     |    0 / 4    | 58 : 2 / 5
polka      |      367 |    45 (12%) |     0 / 3     |    0 / 2    | 45 : 0 / 3
slide      |      112 |     3 ( 3%) |     0 / 2     |    0 / 1    | 3 : 0 / 2
waltz      |       84 |     3 ( 4%) |     0 / 1     |    0 / 1    | 3 : 0 / 1
mazurka    |       40 |     0 ( 0%) |     0 / 0     |    0 / 0    | 0 : 0 / 0
